ID	Lev	x	y	lx	ly	Тип	Доп	Маска	Конфиг	Комментарий	Сокращ.	Форма	Позиция	Файл F5	Знечение	
										В зоне проведения контртеррористической операции	в з.контртерр.операции				к050	
										В свободной экономической зоне	в свобод.экон.з.				к020	
										В зоне вооруженного международного конфликта	в з.воор.междунар.конфл.				к030	
										В зоне ликвидации последствий чрезвычайных ситуаций	в з.ликвид.послед.ЧС				к040	
116	2					dv				Вид места	Вид места	Ф5	18_1	18_1		
							117			Транспорт						
							401			Хранилище 						
							403			Помещения, сооружения						
							407			Сферы обслуживания						
							410			Организации досуга						
							411			Учреждения						
							415			Спортивные сооружения						
							416			Открытые участки местности	Откр. уч. местн.					
//----------------------------------------------------------------------------------------------------------------------------																
126	1					rm		2	2f	Транспорт	Транспорт					
117	2					av				Тип транспорта	Тип транспорта					
							118			Железнодорожный	Ж-Д				10000	
							119			Воздушный	воздушный				20000	
							120			Водный	водный				30000	
							121			Автомобильный	автомобильный				40000	
118	2					av				Железнодорожный транспорт		Ф5	18_1	18_1		
										Поезд	поезд				к00341	
										поезд сопровождаемый сотрудниками органов внутренних дел	поезд сопрв.сотрудн.ОВД				к00587	
										Дальний поезд	дальний поезд				к00342	
										Дальний поезд сопровождаемый сотрудниками органов внутренних дел	даль поезд сопр.сотр.ОВД				к00588	
										Международный поезд	международный поезд				к00343	
										Международный поезд сопровождаемый сотрудниками органов внутренних дел	междунар.поезд сопр.сотр.ОВД				к00590	
										Местный поезд	местный поезд				к00344	
										Местный поезд сопровождаемый сотрудниками органов внутренних дел	местн.поезд сопр.сотр.ОВД				к00590	
										Пригородный поезд	пригородный поезд				к00345	
										Пригородный поезд сопровождаемый сотрудниками органов внутренних дел	пригород.поезд сопр.сотр.ОВД				к00591	
										Грузовой поезд	грузовой поезд				к00346	
										Вокзал	вокзал				к00301	
										Станция	станция				к00302	
119	2					av				Воздушный транспорт		Ф5	18_1	18_1		
										Аэропорт	аэропорт				к00303	
										Воздушное судно	воздушное судно				к00331	
120	2					av				Водный транспорт		Ф5	18_1	18_1		
										Судно	судно				к00230	
										  Морское судно	  морское судно				к00311	
										Речное судно	речное судно				к00321	
										Речной, морской порт	реч., морской порт				к00304	
121	2					av				Автомобильный транспорт		Ф5	18_1	18_1		
										Автомобиль	автомобиль				к00351	
										Легковой автомобиль	легковой автом.				к00121	
										Грузовой автомобиль	грузовой автом.				к00122	
										Личный автомобиль	личный автом.				к00003	
										Автомобиль инкассации	автом.инкассации				к00118	
										Почтовый автомобиль	почтовый автом.				к00138	
										Автостоянка	автостоянка				к00008	
										Остановка	остановка				к00140	
										Подземный переход	подз.переход				к00117	
										Автозаправочная станция	АЗС				к00309	
										Общественный автобус	обществ.автобус				к00052	
										Такси	такси				к00058	
// --------------------------------------------------------------------------------------																
127	1					rm		2	1f	Хранилище 	Хранилище 					
401	2					av				Тип хранилища 	Тип хранилища 					
										Сейф	сейф				к01000	
										Кассовый аппарат	касс-й аппарат				к02000	
										Контейнер	контейнер				к04000	
										Камера хранения	камера хранения				к08000	
										Атоматическая камера хранения самообслуживания (АКХС)	автоматич.камера хран-я				к09000	
										Иное металлическое хранилище	металлич.хранилище				к03000	
										Склад, база	склад, база				к00108	
										Архив	архив				к00101	
	// -------------------------------------------------------------------------															
403	1					rm		2	2f	Помещения (жилые, нежилые), сооружения (части строений)	Помещения, сооружения					
	2					av				Тип помещения	Тип помещения					
									404	Жилые помещения	жилые					
									405	Хозяйственного назначения	хоз. назн.					
									406	Части строений	части строений					
404	2					av				Жилые помещения	Жилые					
										Квартира, частный дом	квартитра,дом				к00105	
										Дача, садовый домик	дача,садов.дом				к00112	
