ID	Lev	x	y	lx	ly	Тип	Доп	Маска	Конфиг	Комментарий	Сокращ.	Форма	Позиция	Файл F5	Знечение	
										Подпольная лаборатория по производству наркотических средств, сильнодействующих или психотропных веществ	пр.по ис.х.с..сыр.д.из.нар.				ХХ451	
										Подпольный цех по производству алкогольной продукции и этилового спирта	под.лаб по пр.нар.ср,психо.в-в				ХХ119	
										Подпольный цех (лаборатория) по производству табачной продукции	под.цех по пр.алк.пр,эт.сп.				ХХ570	
219						av				Газо-нефте проводы	под.цехпо пр.таб.прод-и				ХХ580	
										Нефтепровод		Ф5	18_1	18_1		
										Газопровод	нефтепровод				ХХ581	
										Нефтепродуктопровод	газопровод				ХХ582	
										Нефтетерминал	нефтепродуктопровод				ХХ583	
										Газотерминал	нефтетерминал				ХХ584	
										Нефтепродуктотерминал	газотерминал				ХХ585	
										Прочее	нефтепродуктотерминал				ХХ586	
220						av				Место совершения преступления	прочее				ХХХ71	
										В общественном месте 		Ф5	18_2	18_2		
										На улице, площади, парке, сквере 	в общ.месте				1ХХХ	
										В местах несения патрульно-постовой службы в соответствии с планом единой дислокации 	на улице,площ,парке				Х1ХХ	
										На территории, охраняемой ЧОП 	в м.нес.ППС				ХХ1Х	
										Вне населенного пункта 	на тер.ох.ЧОП				ХХХ1	
//-------------------------------------------------										На автодороге (автотрассе) 	вне нас.пункта				2ХХХ	
											на автодороге				ХХХ4	
221						rm				Мотивы(цель) преступления						
										Корыстные побуждения		Ф5	19	19		
										Приобретение (получение) наркотических средств	кор.поб.				Х1	
										Приобретение (получение) психотропных веществ	приоб.(п)нар.ср.				Х2	
										Приобретение (получение) сильнодействующих веществ	приоб(п)псих.в-в				32	
										Приобретение (получение) прекурсоров	приоб(п)сил.в-в				Х3	
										Приобретение (получение) спиртных напитков	прилб(п)прек-в				33	
										Приобретение (получение) денежных средств	приоб(п)спир.нап.				Х4	
										Приобретение (получение) кредита	приоб(п)ден.ср.				Х5	
										Завладение транспортным средством	приоб(п)кредита				Х6	
										Завладение грузом	завл.тран.ср.				Х7	
										Завладение оружием	завл.грузом				Х8	
										Завладение взрывными устройствами	завл.оружием				Х9	
										Завладение взрывчатыми веществами	завл.взр.устр.				24	
										Завладение боеприпасами	завл.взр.в-ми				25	
										Сбыт	завл.боепр-ми				26	
										Промысел	сбыт				10	
										Сокрытие другого преступления	промысел				11	
										Хулиганские побуждения	сокр.др.прест.				12	
										Сексуальные побуждения	хулиг.побужд.				13	
										Ревность	секс.побужд.				14	
										Ссора	ревность				30	
										Иные бытовые причины	ссора				31	
										Расовая вражда, ненависть, месть	ин.быт.причины				15	
										Национальная вражда, ненависть, месть	рас.вр,нен,месть				28	
										Религиозная вражда, ненависть, месть	нац.вр,нен,месть				18	
										Идеологическая, политическая вражда, ненависть, месть	рел.вр,нен.месть				19	
										Вражда, ненависть, месть в отношении какой-либо социальной группы	идеол.вр,нен,месть				34	
										Иная личная заинтересованность	вр,нен,месть в от.к-л с.гр.				35	
										Раздел сфер влияния	ин.лич заинтер.				17	
										Трансплантация человеческих органов	раздел сфер влиян.				20	
//------------------------------------------------										Сокрытие доходов (прибыли) и других объектов налогообложения	транспл.чел орг.				21	
											сокр.дох(п)и др.об.налог-я				22	
222						rm				Дополнительная характеристика преступления						
223						av				Преступление связано с :		Ф5	20	20		
										Приватизацией		Ф5	20	20		
										Арендными отношениями	приватизацией				ХХ4	
										Земельными отношениями	аренд.отнош.				Х83	
										Внешнеэкономической деятельностью	земель.отнош.				ХХ6	
										Финансовой деятельностью	внешнеэк.де-ю				ХХ7	
										Финансово-кредитной системой 	финанс.де-ю				ХХ9	
										Кредитованием	фин-кред.сист-й				Х1Х	
										Кредитованием физических лиц	кредитованием				Х96	
										Ипотекой	кредит.физ.лиц				Х97	
										Целевым льготным кредитованием	ипотекой				Х98	
										Долевым участием 	цель.льг.кредит-м				Х88	
										Операциями с недвижимостью 	долевым участием 				Х99	
										Операциями с землей 	опер.с недв-ю				Х11	
										Инвестиционным строительством жилья	опер.с землей				Х87	
										Потребительским рынком 	инвест.строит.жилья				1ХХ	
										Стратегическими материалами	потреб.рынком				Х13	
										Материальными ценностями мобилизационного резерва	стратегич матер-ми				Х14	
										Безвестным исчезновением лица 	матер.ценн.моб.резерва				Х84	
										Инструментами или оборудованием, находящимся под специальным контролем	безвест.исч.лица				Х71	
224						av				Преступление связано с незаконным оборотом:	инст.обор под спец.контр.				Х73	
										Наркотических средств, психотропных веществ или их аналогов		Ф5	20	20		
										Сильнодействующих веществ	нарк.ср,пс.в-в их анал-в				101	
										Прекурсоров	сильн.в-в				106	
										Этилового спирта и алкогольной продукции	прекурсоров				102	
										Табачной продукции	этил.спирт.и алк прод.				Х75	
										Валютных ценностей 	табачной продукции				Х93	
										Биологических водных ресурсов	валютных ценностей 				Х12	
										Лома черных металлов	биол.водных ресурсов				Х89	
										Лома цветных металлов	лома черных металлов				117	
225						av				Преступление связано с незаконным производством:	лома цветных металлов				118	
										Наркотических средств, психотропных веществ или их аналогов		Ф5	20	20		
										Сильнодействующих веществ	нарк.ср,пс.в-в их анал-в				103	
										Прекурсоров	сильн.в-в				107	
										Этилового спирта и алкогольной продукции	прекурсоров				104	
										Табачной продукции	этил.сп.и алк.прод-и				Х74	
										Товарами, подлежащими квотированию и лицензированию	табачной продукции				105	
										Топливно-энергетическим комплексом 	тов.подл.квот.и лиценз.				Х76	
										Агропромышленным комплексом 	топ.-энерг.комплексом				Х77	
										Религиозным экстремизмом 	агропр.комплексом				Х78	
										Деятельностью органов власти и управления	религ.экстрем.				Х85	
										Террористической деятельностью	де-ю орг.влас.и управл.				Х86	
										Финансированием акта терроризма либо террористической организации	террор.де-ю				Х92	
										Недружественным поглощением предприятия	фин.ак.тер.л.тер.орг.				Х9Х	
										Нарушениями антимонопольного законодательства	недр.погл.пред.				Х91	
										Реализацией приоритетных национальных проектов	нар.антимон.зак-ва				108	
										Реализацией национального проекта «Образование»	реа.приор.нац.пр.				Х94	
										Реализацией национального проекта «Жилье»	"реа.нац.пр.""обр"""				109	
										Реализацией национального проекта «Здоровье»	"реа.нац.пр""жиль"""				110	
										Реализацией национального проекта «АПК»	"реа.нац.пр""здор"""				111	
										Подготовкой к проведению Олимпиады в г. Сочи	"реа.нац.пр""АПК"""				112	
										Подготовкой к проведению универсиады в г. Казань	подг.к прв.Ол.в Сочи				113	
										Незаконным использованием олимпийской и паралимпиймкой символики	подг.к пров.унив.в Казани				122	
226						av				Преступление совершено:	нез.исп.олим.и пар.симв.				123	
										В сфере пассажирских перевозок		Ф5	20	20		
										В сфере грузовых перевозок	в сф.пассаж.перев.				Х17	
										При транспортировке нефти и нефтепродуктов железнодорожным и водным транспортом	в сф.груз.перев.				Х18	
										В сфере деятельности вертикально-интегрированной нефтегазодобывающей компании	п.тран.неф.и неф-п жд.вод.тран.				Х95	
										В сфере телекоммуникаций и компьютерной информации	в сф.в-и неф.комп.				114	
										Хищение грузов на стадии сдачи-приема к отправке 	в сф.тел.и комп.инф.				116	
										Хищение грузов на стадии сортировки в пути следования 	хищ.гру.на сд-пр				Х19	
										Хищение грузов на стадии выдачи грузополучателю 	хищ.гру.на ст.сортир.				Х2Х	
										В сфере интеллектуальной собственности 	хищ.гру.на ст.выдачи				Х21	
										По найму 	в сф.инт.со-ти				Х8Х	
227						av				Преступление сопряжено с: 	по найму 				Х81	
										Разбоем		Ф5	20	20		
										Вымогательством 	разбоем				Х30	
										Бандитизмом	вымогательством 				Х31	
										Захватом заложника 	бандитизмом				Х32	
										Похищением человека 	захватом заложника 				Х33	
										Изнасилованием 	похищением человека 				Х34	
										Насильственными действиями сексуального характера	изнасилованием 				Х35	
										Использованием служебного положения 	нас.дейст.секс.хар.				Х36	
										Использованием служебного положения должностным лицом	исп.служ.пол-я				Х6Х	
										Использованием служебного положения государственным служащим	исп.служ.пол-я дол.л.				119	
										Использованием служебного положения служащим органов местного самоуправления	исп.сл.пол-я гос.служ.				12Х	
										Использованием служебного положения лицом, выполняющим управленческие функции в коммерческой или иной организации	исп.сл.пол-ясл.ОМС				121	
										Использованием служебного положения в интересах организованной группы 	исп.сл.пол.л.вып.упр.ф.				115	
										Использованием служебного положения в интересах организованной группы сформированной на этнической основе 	исп.сл.пол.в инт.орг.гр.				Х68	
228						av				Преступление совершено: 	исп.сл.пол.в инт.о.г.на этн.ос.				Х62	
										В отношении лица, находящегося в беспомощном состоянии 		Ф5	20	20		
										В отношении беременной женщины 	в отнош.л.нах.в бесп.сост.				Х7Х	
										В связи с осуществлением потерпевшим служебной деятельности  или выполнением общественного долга 	в отнош.берем.				Х61	
229						av				Преступление повлекло: 	в св.с ос.пот.сл.де,общ.дол.				Х62	
										Причинение тяжкого вреда здоровью потерпевшего 		Ф5	20	20		
										Смерть потерпевшего 	прич.тяж.вр.з.пот.				Х63	
										Заражение венерическим заболеванием 	смерть потерпевшего 				Х64	
										Заражение ВИЧ-инфекцией 	зар.венер.заболеванием				Х65	
										Ненадлежащее исполнение профессиональных обязанностей	зар.ВИЧ-инфекцией				Х66	
										Карманная кража 	ненад сп.проф.обяз.				Х67	
										Вовлечение несовершеннолетних в совокупности с другими преступлениями 	карманная кража 				ХХ1	
										Оуществление предпринимательской деятельности без регистрации 	вовл.нес.в сов с др пр.				ХХ3	
										Осуществление предпринимательской деятельности без лицензии	ос.пред.д.б.рег.				Х4Х	
										Осуществление предпринимательской деятельности с нарушением условий квотирования и лицензирования 	ос.пред.д.б.лиц.				Х41	
										Осуществление банковской деятельности без регистрации	ос.пред.д.с нар.усл.лиц.				Х42	
										Осуществление банковской деятельности без лицензии	ос.банк.де.б.рег.				Х5Х	
//------------------------------------------------										Осуществление банковской деятельности с нарушением условий лицензирования	ос.банк.де.б.лиц.				Х51	
											ос.банк.де.с нар.усл.лиц.				Х52	
230						rm				ФИО						
231						ed				Фамилия		Ф5	21	фамилия имя отчество		
232						ed				Имя		Ф5	21	фаммилия		
233						ed				Отчество		Ф5	21	имя		
												Ф5	21	отчество		
